name,standardizedNames
Ae._Ochlerotatus_hendersoni,Aedes_OchlerotatusProtomacleayaSA_hendersoni
Ae._Ochlerotatus_hexodontus,Aedes_Ochlerotatus_hexodontus
Ae._Ochlerotatus_hungaricus,Aedes_Ochlerotatus_hungaricus
Ae._Ochlerotatus_impiger,Aedes_Ochlerotatus_impiger
Ae._Ochlerotatus_implicatus,Aedes_Ochlerotatus_implicatus
Ae._Ochlerotatus_increpitus,Aedes_Ochlerotatus_increpitus
Ae._Ochlerotatus_infirmatus,Aedes_OchlerotatusOchlerotatus_infirmatus
Ae._Ochlerotatus_intrudens,Aedes_OchlerotatusWoodius_intrudens
Ae._Ochlerotatus_kasachstanicus,Aedes_Ochlerotatus_kasachstanicus
Ae._Ochlerotatus_leucomelas,Aedes_Ochlerotatus_leucomelas
Ae._Ochlerotatus_mallochi,Aedes_OchlerotatusFinlayaSA_mallochi
Ae._Ochlerotatus_melanimon,Aedes_Ochlerotatus_melanimon
Ae._Ochlerotatus_mitchellae,Aedes_OchlerotatusCulicelsa_mitchellae
Ae._Ochlerotatus_nigrinus,Aedes_Ochlerotatus_nigrinus
Ae._Ochlerotatus_nigripes,Aedes_Ochlerotatus_nigripes
Ae._Ochlerotatus_nigromaculis,Aedes_OchlerotatusCulicelsa_nigromaculis
Ae._Ochlerotatus_niphadopsis,Aedes_Ochlerotatus_niphadopsis
Ae._Ochlerotatus_obturbator,Aedes_OchlerotatusOchlerotatus_obturbator
Ae._Ochlerotatus_oreophilus,Aedes_OchlerotatusFinlayaSA_oreophilus
Ae._Ochlerotatus_pertinax,Aedes_OchlerotatusProtoculex_pertinax
Ae._Ochlerotatus_pionips,Aedes_Ochlerotatus_pionips
Ae._Rhinoskusea_portonovoensis,Aedes_Rhinoskusea_portonovoensis
Ae._Ochlerotatus_procax,Aedes_Ochlerotatus_procax
Ae._Ochlerotatus_provocans,Aedes_OchlerotatusRusticoidus_provocans
Ae._Ochlerotatus_pulcritarsis,Aedes_Ochlerotatus_pulcritarsis
Ae._Ochlerotatus_pullatus,Aedes_Ochlerotatus_pullatus
Ae._Ochlerotatus_punctor,Aedes_Ochlerotatus_punctor
Ae._Ochlerotatus_refiki,Aedes_OchlerotatusRusticoidus_refiki
Ae._Ochlerotatus_rempeli,Aedes_Ochlerotatus_rempeli
Ae._Ochlerotatus_riparius,Aedes_Ochlerotatus_riparius
Ae._Ochlerotatus_rusticus,Aedes_OchlerotatusRusticoidus_rusticus
Ae._Ochlerotatus_sagax,Aedes_Ochlerotatus_sagax
Ae._Ochlerotatus_scapularis,Aedes_OchlerotatusOchlerotatus_scapularis
Ae._Ochlerotatus_schizopinax,Aedes_Ochlerotatus_schizopinax
Ae._Ochlerotatus_sollicitans,Aedes_OchlerotatusCulicelsa_sollicitans
Ae._Ochlerotatus_spencerii,Aedes_Ochlerotatus_spencerii
Ae._Ochlerotatus_squamiger,Aedes_Ochlerotatus_squamiger
Ae._Ochlerotatus_sticticus,Aedes_Ochlerotatus_sticticus
Ae._Ochlerotatus_stimulans,Aedes_Ochlerotatus_stimulans
Ae._Ochlerotatus_tahoensis,Aedes_Ochlerotatus_tahoensis
Ae._Ochlerotatus_taeniorhynchus,Aedes_OchlerotatusCulicelsa_taeniorhynchus
Ae._Ochlerotatus_terrens,Aedes_OchlerotatusProtomacleayaSA_terrens
Ae._Ochlerotatus_thelcter,Aedes_OchlerotatusOchlerotatus_thelcter
Ae._Ochlerotatus_theobaldi,Aedes_Ochlerotatus_theobaldi
Ae._Ochlerotatus_thibaulti,Aedes_Ochlerotatus_thibaulti
Ae._Ochlerotatus_tormentor,Aedes_OchlerotatusProtoculex_tormentor
Ae._Ochlerotatus_tortilis,Aedes_OchlerotatusOchlerotatus_tortilis
Ae._Ochlerotatus_triseriatus,Aedes_OchlerotatusProtomacleayaSA_triseriatus
Ae._Ochlerotatus_trivittatus,Aedes_OchlerotatusOchlerotatus_trivittatus
Ae._Ochlerotatus_ventrovittis,Aedes_Ochlerotatus_ventrovittis
Ae._Ochlerotatus_vigilax,Aedes_OchlerotatusEmpihals_vigilax
Ae._Ochlerotatus_vittiger,Aedes_Ochlerotatus_vittiger
Ae._Ochlerotatus_zoosophus,Aedes_OchlerotatusProtomacleayaSA_zoosophus
Ae._Petermattinglyius_iyengari,Aedes_Petermattinglyius_iyengari
Ae._Phagomyia_assamensis,Aedes_Phagomyia_assamensis
Ae._Phagomyia_khazani,Aedes_Phagomyia_khazani
Ae._Phagomyia_prominens,Aedes_Phagomyia_prominens
Ae._Phagomyia_watasei,Aedes_Phagomyia_watasei
Ae._Paraedes_barraudi,Aedes_Paraedes_barraudi
Ae._Paraedes_collessi,Aedes_Paraedes_collessi
Ae._Rampamyia_notoscriptus,Aedes_Rampamyia_notoscriptus
Ae._Rhinoskusea_wardi,Aedes_Rhinoskusea_wardi
Ae._Scutomyia_albolineatus,Aedes_Scutomyia_albolineatus
Ae._Georgecragius_fluviatilis,Aedes_Georgecraigius_fluviatilis
Ae._Stegomyia_aegypti,Aedes_Stegomyia_aegypti
Ae._Stegomyia_africanus,Aedes_Stegomyia_africanus
Ae._Stegomyia_albopictus,Aedes_Stegomyia_albopictus
Ae._Stegomyia_annandalei,Aedes_Stegomyia_annandalei
Ae._Stegomyia_bromeliae,Aedes_Stegomyia_bromeliae
Ae._Stegomyia_craggi,Aedes_Stegomyia_craggi
Ae._Stegomyia_cretinus,Aedes_Stegomyia_cretinus
Ae._Stegomyia_daitensis,Aedes_Stegomyia_daitensis
